100 1977
8 39 996
8 55 72
8 63 1172
8 64 5220
8 85 5778
8 97 990
8 98 105
9 0 9957
9 1 407
9 4 8624
9 5 9058
9 11 5207
9 25 5849
9 26 9905
9 27 4799
9 33 2861
9 34 2234
9 35 2944
9 37 2233
9 42 6160
9 43 2433
9 61 2300
9 67 7311
9 72 8
9 73 2067
9 75 9634
9 82 4994
9 84 3126
10 1 212
10 7 7150
10 9 4058
10 11 8030
10 12 4847
10 14 3660
10 23 7766
10 25 2625
10 39 8311
10 61 7941
10 62 5275
10 67 3648
10 75 5965
10 80 6477
10 82 2706
10 87 9405
10 92 3057
11 12 7007
11 13 6351
11 15 8975
11 18 2326
11 19 2159
11 20 3241
11 21 994
11 27 1436
11 32 6021
11 33 1841
11 36 417
11 42 8213
11 44 174
11 48 4457
11 50 9895
11 52 3097
11 59 2508
11 64 2437
11 65 907
11 70 9340
11 80 4753
11 81 4391
11 83 953
11 89 5268
12 1 4944
12 3 1773
12 5 9972
12 13 3070
12 33 3300
12 34 6561
12 40 1408
12 52 1888
12 54 6528
12 62 1944
12 64 346
12 77 8116
12 78 1180
12 79 4831
12 80 3573
12 83 2418
12 98 1773
13 6 399
13 12 6538
13 18 6084
13 22 4977
13 35 3477
13 39 6289
13 43 6231
13 45 9604
13 46 8122
13 59 4438
13 70 1845
13 77 2623
13 80 8329
13 90 1220
13 95 8368
14 1 7788
14 4 723
14 11 4392
14 16 4336
14 19 9609
14 21 5124
14 30 8532
14 33 2618
14 39 9088
14 42 6283
14 43 9480
14 48 604
14 50 2583
14 67 7309
14 71 3003
14 72 8708
14 73 3372
14 74 1554
14 75 3766
14 87 6575
14 88 8821
14 96 1057
15 1 8110
15 3 8620
15 6 1874
15 14 1278
15 17 8629
15 35 9519
15 38 6246
15 39 7322
15 42 7256
15 51 1992
15 56 7635
15 73 4611
15 74 2821
15 75 8881
15 76 611
15 91 647
15 92 1822
15 93 27
15 94 1098
15 95 6720
15 97 4461
15 99 7844
16 6 6118
16 8 8569
16 17 3169
16 25 5112
16 30 5528
16 31 4808
16 49 212
16 53 648
16 55 4598
16 59 9049
16 62 4709
16 63 5462
16 66 3717
16 67 485
16 73 5108
16 74 4422
16 84 6697
16 87 1815
16 89 7755
17 7 6644
17 16 864
17 19 314
17 23 5146
17 26 2404
17 27 8465
17 38 8495
17 42 5822
17 45 2370
17 49 8135
17 50 5991
17 67 9947
17 68 531
17 76 4457
17 78 655
17 79 7792
17 80 5369
17 85 9431
17 87 4918
17 98 7217
18 5 6421
18 7 2302
18 9 2410
18 10 614
18 19 1291
18 22 5568
18 32 9604
18 44 6724
18 52 9510
18 54 5581
18 56 1696
18 60 992
18 62 3103
18 63 6337
18 64 7391
18 65 7867
18 72 2490
18 75 6249
18 76 2091
18 83 5163
18 85 5112
18 87 3317
18 91 1923
18 92 1293
18 93 8726
19 1 6024
19 5 1344
19 18 8989
19 21 3496
19 23 5688
19 28 8888
19 31 4744
19 32 8734
19 33 2693
19 35 4526
19 40 5261
19 45 8418
19 52 1266
19 61 6707
19 66 5854
19 69 6028
19 70 5727
19 80 4042
19 82 9417
19 85 8676
19 88 8926
19 91 7890
19 95 956
19 96 4411
19 99 7220
20 0 4479
20 8 8823
20 13 4005
20 19 3496
20 23 1277
20 25 5460
20 31 516
20 33 173
20 40 3684
20 74 6282
20 77 4972
20 78 2347
20 84 9307
20 92 387
20 93 2651
20 94 2586
21 4 1594
21 11 7457
21 12 8791
21 13 8117
21 22 7691
21 23 3527
21 27 3573
21 31 1848
21 33 5963
21 37 3685
21 41 8656
21 43 5077
21 45 9729
21 46 9718
21 54 6428
21 57 8992
21 59 1384
21 61 1690
21 63 4712
21 72 6205
21 83 2979
21 87 4325
22 8 6617
22 16 3166
22 20 8463
22 25 5825
22 41 778
22 47 900
22 52 2638
22 56 8478
22 57 3043
22 60 4965
22 78 3139
22 95 1614
22 96 349
23 0 8759
23 1 744
23 2 7020
23 3 2354
23 4 8776
23 20 1150
23 21 6378
23 28 942
23 43 264
23 47 7168
23 78 7507
23 80 4070
23 87 2019
23 90 5410
23 92 7006
23 93 4989
23 99 7906
24 2 841
24 5 2218
24 8 6222
24 10 42
24 15 3470
24 16 33
24 21 9439
24 30 3319
24 42 7610
24 44 7043
24 56 8230
24 57 2940
24 63 5651
24 69 8194
24 78 9589
24 79 6698
24 90 4493
24 93 428
24 99 3966
25 21 2086
25 26 7120
25 27 2670
25 39 8226
25 40 6624
25 41 5713
25 44 5211
25 49 9197
25 51 1220
25 52 2279
25 53 2383
25 54 6340
25 56 6880
25 63 1937
25 71 2930
25 76 8315
25 82 2749
25 90 1194
25 91 7073
25 92 8833
25 95 4668
25 98 3934
26 6 7860
26 7 1221
26 8 2374
26 9 9323
26 31 3107
26 42 1382
26 46 2980
26 47 5496
26 50 5308
26 53 6118
26 59 8960
26 62 5651
26 77 8901
26 78 1339
26 80 5814
26 81 8030
26 82 3767
26 91 8555
27 5 8375
27 19 9355
27 21 1299
27 23 5924
27 35 3388
27 38 1863
27 48 3093
27 51 5397
27 52 4998
27 54 9514
27 58 960
27 64 1088
27 65 7171
27 70 2932
27 71 4611
27 76 1832
27 78 2821
27 86 1528
27 87 4588
27 88 751
27 95 5830
27 98 7086
27 99 2262
28 2 8270
28 5 3063
28 17 3668
28 23 6694
28 33 1212
28 34 6021
28 37 3074
28 41 3151
28 49 3640
28 53 3882
28 66 8440
28 69 7199
28 71 8563
28 85 6018
28 86 7445
28 87 1987
28 88 6397
28 91 5000
28 93 5207
28 95 754
28 98 6168
29 5 1372
29 12 5752
29 15 1505
29 20 9112
29 23 584
29 31 4636
29 35 523
29 38 836
29 40 2747
29 49 5568
29 53 6031
29 58 5317
29 61 8078
29 62 1042
29 74 8791
29 78 3285
29 83 423
29 92 5485
30 6 5734
30 9 2988
30 15 610
30 26 811
30 36 2767
30 40 7101
30 50 9211
30 54 2842
30 58 3569
30 61 4195
30 71 6313
30 73 8476
30 78 8315
30 80 4400
30 82 6625
30 92 2005
30 97 6304
31 6 6192
31 8 5262
31 22 6142
31 24 3424
31 32 355
31 51 8118
31 54 3042
31 57 625
31 65 5576
31 66 9903
31 67 1477
31 68 1150
31 74 9889
31 77 8733
31 84 2967
31 88 4521
31 90 8878
31 91 7293
31 95 8074
32 10 5339
32 17 3469
32 20 1949
32 23 6177
32 30 7142
32 40 1779
32 42 3277
32 45 253
32 47 3597
32 52 9517
32 59 4481
32 61 7519
32 62 9990
32 69 7248
32 71 5814
32 72 7101
32 73 2503
32 81 4042
32 82 6730
33 0 6859
33 1 3242
33 12 6885
33 17 7310
33 18 7378
33 22 288
33 37 9261
33 42 6811
33 44 5505
33 46 3227
33 47 4919
33 50 2682
33 53 2640
33 55 4660
33 59 5331
33 66 3153
33 67 4255
33 69 4532
33 71 1562
33 72 1314
33 76 9527
33 80 9096
33 89 4650
33 91 2527
33 93 455
33 95 31
33 98 2216
34 5 7793
34 7 2220
34 14 189
34 15 9747
34 23 4295
34 24 297
34 26 3617
34 31 9793
34 32 420
34 33 1054
34 37 1177
34 46 7644
34 52 1242
34 65 6425
34 67 3635
34 73 1942
34 75 9216
35 13 6716
35 14 6604
35 19 3740
35 20 4647
35 23 9681
35 26 8
35 30 7168
35 36 5145
35 39 2575
35 40 9257
35 42 2237
35 44 6948
35 47 6762
35 49 5677
35 52 7006
35 55 8025
35 57 1059
35 58 9304
35 59 786
35 63 7027
35 68 9859
35 73 7766
35 78 8239
35 84 6278
35 90 8203
35 91 5156
35 95 1323
35 96 2178
36 0 3151
36 2 1372
36 6 7437
36 7 6124
36 25 4541
36 34 7827
36 40 5202
36 43 1017
36 45 415
36 46 4822
36 47 9410
36 60 3815
36 65 9793
36 73 135
36 74 2866
36 75 4675
36 78 6578
36 79 3565
36 80 7619
36 83 9732
36 88 2934
36 94 2299
36 99 2605
37 6 7706
37 9 4408
37 12 754
37 15 3922
37 19 2940
37 20 7865
37 30 1079
37 31 5770
37 32 2138
37 38 7218
37 53 185
37 58 1315
37 64 3570
37 84 5441
37 90 1562
37 97 8955
37 98 8842
38 7 2060
38 9 2653
38 16 5533
38 21 6753
38 27 7961
38 32 7339
38 37 4955
38 41 2848
38 45 974
38 46 3339
38 61 3018
38 63 6009
38 68 2121
38 70 849
38 77 4263
38 84 8927
39 9 191
39 16 1702
39 20 7624
39 24 2329
39 29 6417
39 34 2430
39 42 5990
39 45 3205
39 46 4274
39 48 6809
39 57 2984
39 58 7034
39 59 8633
39 61 6291
39 63 2700
39 69 9324
39 70 3884
39 79 2103
39 80 5629
39 81 8880
39 83 3804
39 89 107
39 93 9223
39 97 9838
40 4 8405
40 7 5473
40 8 7261
40 11 8135
40 17 2133
40 31 6494
40 35 9527
40 38 1648
40 44 1459
40 48 8578
40 63 1058
40 67 2002
40 75 6563
40 77 737
40 86 7565
40 88 8013
40 97 988
40 98 8958
40 99 4816
41 2 8343
41 3 1297
41 6 9303
41 12 317
41 23 5933
41 24 7297
41 26 8279
41 30 5247
41 34 6227
41 36 1092
41 43 3936
41 63 3187
41 65 6776
41 75 9940
41 79 3461
41 80 1358
41 86 7628
41 90 3543
42 7 7158
42 11 1515
42 13 4311
42 16 2442
42 18 7114
42 20 5468
42 28 8562
42 31 5970
42 39 8860
42 48 7918
42 51 3214
42 64 527
42 65 7536
42 79 8826
42 81 3843
42 83 7411
42 87 3599
42 89 7013
42 98 5447
42 99 3341
43 0 9093
43 6 4844
43 19 5317
43 20 6659
43 26 6151
43 31 9534
43 33 1697
43 53 2688
43 56 6759
43 66 9495
43 68 4224
43 70 8321
43 76 2718
43 80 3452
43 82 6488
43 87 3235
44 6 5441
44 7 8423
44 16 6359
44 21 3995
44 22 5990
44 27 212
44 32 6251
44 35 3187
44 39 5176
44 42 3710
44 43 5632
44 50 4481
44 52 8704
44 55 6188
44 56 335
44 58 2038
44 61 7511
44 64 8369
44 65 1608
44 68 7834
44 69 869
44 72 5607
44 73 6495
44 77 361
44 87 1086
44 95 9590
45 3 4802
45 5 3844
45 6 9825
45 11 3588
45 15 9739
45 18 8143
45 19 8329
45 23 5285
45 32 5449
45 35 3595
45 36 1288
45 38 9818
45 43 9086
45 47 5522
45 63 1136
45 70 2288
45 83 8029
45 88 2366
45 90 5177
46 18 1331
46 20 907
46 22 9413
46 24 7230
46 25 4034
46 28 8515
46 33 6712
46 42 2615
46 44 5575
46 57 1964
46 61 2470
46 89 5586
46 90 6401
46 91 2717
46 97 521
47 5 641
47 17 8092
47 18 8584
47 20 6846
47 24 9586
47 29 32
47 37 1322
47 52 8471
47 55 4605
47 57 6734
47 65 4057
47 70 2918
47 72 3283
47 74 4312
47 76 299
47 86 9945
47 89 7083
47 92 813
47 94 2026
48 6 2758
48 7 3009
48 8 1733
48 14 414
48 15 9275
48 16 8817
48 21 4798
48 22 6671
48 23 4324
48 24 8429
48 27 5692
48 33 5510
48 35 7692
48 37 897
48 42 2735
48 43 1833
48 51 4324
48 56 6196
48 58 9829
48 59 6148
48 69 3553
48 77 4584
48 81 7815
48 82 6834
48 84 5588
48 88 1946
48 93 6319
48 95 7725
49 0 8728
49 5 4301
49 6 7061
49 19 1327
49 20 7796
49 31 9059
49 34 7926
49 37 4296
49 38 832
49 44 8287
49 45 3683
49 48 2268
49 63 914
49 69 4294
49 70 396
49 72 9142
49 85 3980
49 92 5397
50 3 6127
50 19 3629
50 22 2142
50 26 9968
50 40 538
50 44 2414
50 49 24
50 58 8243
50 59 8842
50 62 9939
50 69 367
50 73 1881
50 74 4311
50 78 3556
50 83 8185
50 85 7576
50 86 5305
50 94 6622
50 95 3101
50 97 3510
50 99 5049
51 0 2623
51 5 1044
51 9 8769
51 12 4490
51 14 7972
51 16 5143
51 23 4984
51 29 8697
51 31 2991
51 33 9510
51 36 5311
51 40 416
51 49 2273
51 53 2403
51 55 6685
51 68 6991
51 75 5707
51 82 5270
51 93 2449
51 95 7636
51 96 2167
51 97 3538
52 3 2859
52 7 787
52 19 366
52 26 1114
52 42 483
52 53 4870
52 62 7387
52 64 1288
52 68 781
52 75 555
52 80 9583
52 87 7988
52 90 829
52 95 9497
53 3 7572
53 4 8526
53 5 1331
53 6 6029
53 18 8992
53 19 8665
53 20 8482
53 22 8829
53 34 3823
53 40 7844
53 57 1640
53 69 9998
53 75 2427
53 82 9398
53 87 4053
53 95 5774
54 4 2820
54 10 5467
54 15 1169
54 22 6301
54 36 2559
54 42 2379
54 43 3387
54 47 8662
54 48 6941
54 62 9718
54 69 438
54 70 3834
54 76 3634
54 78 6021
54 82 4638
54 88 5288
54 91 1936
54 98 5255
55 7 3809
55 11 7863
55 18 7262
55 21 6630
55 24 6676
55 29 6887
55 35 9549
55 43 9715
55 46 2019
55 47 5476
55 69 354
55 70 1206
55 72 9311
55 73 8152
55 75 9482
55 79 9429
55 80 6527
55 82 1463
55 84 7201
55 94 4519
56 28 4084
56 35 7330
56 40 2914
56 43 2602
56 47 4994
56 54 5334
56 55 4843
56 57 2690
56 58 513
56 70 9106
56 72 6173
56 74 8989
56 77 7344
56 81 1145
56 86 3603
56 89 961
56 94 9536
56 97 1848
56 98 8116
56 99 8065
57 0 4464
57 6 1861
57 8 9061
57 10 1237
57 15 9773
57 21 3471
57 23 2544
57 24 7016
57 29 9198
57 31 3080
57 40 5312
57 46 9282
57 47 2712
57 61 4995
57 62 1359
57 64 4371
57 73 7187
57 75 4153
57 77 5472
57 78 1860
57 83 728
57 88 779
57 95 94
58 7 5362
58 14 1148
58 20 112
58 24 6493
58 30 6329
58 33 4834
58 46 2715
58 51 9026
58 55 9333
58 67 100
58 68 6681
58 73 9602
58 80 6932
58 82 5479
58 84 871
58 86 1551
58 93 6643
59 0 4535
59 3 5621
59 14 1722
59 19 9398
59 23 3185
59 24 2984
59 35 4356
59 36 146
59 41 788
59 43 850
59 45 7840
59 46 5134
59 47 3174
59 54 6410
59 61 6840
59 75 2744
59 94 896
59 98 4909
60 17 8807
60 21 698
60 26 9117
60 29 9389
60 36 2423
60 42 3894
60 43 7432
60 48 4769
60 49 4739
60 50 9349
60 51 3464
60 59 9507
60 67 6298
60 68 4939
60 73 6622
60 81 6837
60 82 4294
60 86 7261
60 96 117
60 98 9643
60 99 49
61 14 2726
61 19 9096
61 23 2381
61 27 4269
61 28 4497
61 35 2085
61 39 2253
61 44 8072
61 45 2957
61 54 5112
61 57 8835
61 58 5258
61 66 2205
61 72 9082
61 74 8489
61 77 8571
61 79 2009
61 84 5104
61 87 4172
61 92 6020
61 94 4542
61 95 1480
61 98 4810
62 2 9064
62 6 1099
62 13 1498
62 17 8615
62 19 3750
62 20 2471
62 21 4342
62 24 5512
62 27 8357
62 32 2071
62 34 9059
62 39 2633
62 46 9998
62 47 3467
62 53 1458
62 56 4093
62 61 5843
62 64 2048
62 82 415
62 89 1524
62 90 628
63 4 9761
63 7 2817
63 8 5281
63 9 5140
63 11 7404
63 12 7736
63 13 1650
63 24 7360
63 42 5252
63 43 5810
63 44 393
63 46 9668
63 47 3851
63 51 2652
63 56 1194
63 67 7047
63 70 2860
63 88 6472
63 91 3552
63 94 8154
64 3 2375
64 4 3296
64 11 1784
64 13 1703
64 16 1468
64 17 1977
64 18 2945
64 24 2289
64 26 9433
64 27 4119
64 43 9339
64 50 8205
64 51 5594
64 54 9239
64 57 2038
64 65 7364
64 66 35
64 67 9647
64 73 2708
64 76 3208
64 78 7834
64 79 2811
64 84 9746
64 96 5814
64 98 7298
65 1 5678
65 6 1502
65 9 1110
65 16 9985
65 22 5290
65 38 4273
65 40 5803
65 43 2103
65 45 1174
65 47 7837
65 56 1089
65 60 111
65 62 5569
65 69 4154
65 74 4473
65 77 2507
65 78 4958
65 79 3227
65 83 333
65 85 9625
65 90 7074
66 15 6913
66 20 9069
66 21 1076
66 25 957
66 35 8
66 36 9106
66 39 4349
66 48 9906
66 53 3059
66 62 3099
66 70 3001
66 73 166
66 81 9480
66 95 2927
67 2 5682
67 5 5205
67 19 9552
67 21 3661
67 29 3572
67 31 9839
67 32 4789
67 36 4308
67 38 9453
67 48 9355
67 49 3890
67 52 6994
67 53 7071
67 59 9404
67 60 260
67 63 7588
67 74 6626
67 93 1928
67 94 1107
68 9 4265
68 18 2072
68 26 3301
68 27 4422
68 33 3398
68 35 3562
68 43 9600
68 47 2596
68 51 2828
68 59 9670
68 62 6641
68 64 8626
68 65 1039
68 67 7037
68 83 9343
68 88 5602
68 90 7220
68 94 6146
68 98 9365
68 99 1540
69 0 8054
69 8 9593
69 9 6915
69 14 2380
69 17 3960
69 21 9695
69 34 4890
69 36 1623
69 38 736
69 47 9737
69 52 9390
69 53 3438
69 54 5689
69 56 1266
69 65 6725
69 68 4156
69 82 9053
69 83 460
69 88 4303
69 92 6889
69 98 9880
70 3 7464
70 4 5948
70 7 5154
70 8 9621
70 10 4338
70 11 6203
70 12 3969
70 14 6805
70 31 9439
70 34 3862
70 39 2091
70 40 9594
70 41 2396
70 45 7970
70 59 5055
70 61 9680
70 80 1692
70 86 2924
70 87 5078
70 90 8360
71 5 3750
71 11 4104
71 20 3723
71 21 816
71 22 6616
71 29 8924
71 31 1460
71 50 9186
71 51 7678
71 52 461
71 57 4313
71 62 4951
71 63 2075
71 69 1338
71 72 3345
71 83 7155
71 87 2355
71 93 8424
71 95 7949
71 99 4568
72 2 6211
72 5 5528
72 7 5631
72 16 5782
72 18 9502
72 20 5100
72 22 9283
72 23 3931
72 25 1171
72 27 4750
72 49 9684
72 59 6470
72 60 5039
72 61 3586
72 70 135
72 78 3296
72 80 4742
73 0 7191
73 1 986
73 10 5597
73 14 5339
73 17 5473
73 36 2226
73 39 5538
73 48 3065
73 60 9637
73 61 2106
73 64 8659
73 72 3791
73 78 67
73 89 6511
73 96 3513
73 99 8003
74 5 3963
74 14 3020
74 22 4696
74 28 3573
74 35 6169
74 36 5124
74 37 6563
74 40 1987
74 48 2011
74 64 9492
74 75 6985
74 78 9539
74 87 59
74 90 5776
74 91 5902
75 4 5961
75 26 5473
75 29 3763
75 30 4491
75 31 2262
75 35 9354
75 36 8998
75 40 8501
75 46 8604
75 51 7118
75 53 3836
75 55 8245
75 63 3541
75 69 2351
75 70 4078
75 78 4644
75 91 1890
75 93 6407
76 0 3052
76 27 7038
76 31 2317
76 32 573
76 34 3800
76 40 3660
76 41 3159
76 43 8563
76 44 3548
76 47 6347
76 48 4133
76 49 9986
76 51 4338
76 54 6937
77 4 5375
77 9 3307
77 12 5727
77 21 7248
77 23 2525
77 26 7430
77 31 2554
77 41 1611
77 44 4694
77 55 8068
77 56 1938
77 58 3446
77 60 9863
77 63 18
77 65 4715
77 83 6892
77 86 9648
77 92 7719
77 96 1181
77 97 6523
77 99 3734
78 1 6678
78 3 8226
78 4 2895
78 5 2658
78 6 1790
78 9 1157
78 11 6151
78 14 6162
78 15 2010
78 16 3861
78 24 9213
78 25 3126
78 30 2557
78 36 6464
78 43 568
78 44 2218
78 50 8156
78 55 7765
78 56 7863
78 58 6794
78 60 5963
78 68 907
78 75 8790
78 81 5789
78 90 1222
78 94 2785
78 96 2480
78 97 6727
79 1 2269
79 5 6440
79 13 1916
79 24 7844
79 25 4158
79 31 2035
79 48 7225
79 51 588
79 64 895
79 72 3059
79 81 9758
79 86 3982
79 93 6253
79 98 2559
80 5 8405
80 9 3242
80 18 9682
80 23 3924
80 34 2875
80 41 1391
80 42 7063
80 43 7648
80 52 2126
80 63 7461
80 64 6778
80 65 1096
80 76 8817
80 77 6959
80 84 3350
80 90 5293
80 95 8974
81 0 9796
81 12 5277
81 15 6395
81 20 9970
81 21 2103
81 24 5207
81 29 7768
81 30 2147
81 34 2610
81 36 7482
81 37 9999
81 41 4200
81 47 7224
81 54 4445
81 63 9702
81 77 6919
81 80 2182
81 89 9521
81 92 1415
81 97 9586
82 3 850
82 12 7669
82 13 5472
82 15 7631
82 18 4623
82 19 5298
82 26 5532
82 30 8706
82 31 4556
82 37 5904
82 39 6449
82 43 5137
82 47 5709
82 48 4062
82 62 2084
82 66 6807
82 75 7758
82 77 848
82 86 8364
82 91 9931
82 93 2591
83 1 3719
83 3 4989
83 8 853
83 14 128
83 20 7488
83 26 3478
83 30 3331
83 44 911
83 54 5048
83 65 7877
83 66 6466
83 67 7312
83 73 7555
83 86 6953
83 89 4911
83 90 6635
83 92 5256
84 5 9191
84 8 5183
84 13 7158
84 19 7598
84 20 4260
84 29 8232
84 42 2791
84 43 535
84 47 7414
84 53 6695
84 54 7146
84 61 1204
84 74 8862
84 77 338
84 89 3717
84 91 3704
84 92 8107
84 99 6527
85 4 4689
85 5 9267
85 9 6861
85 10 211
85 12 4548
85 20 8822
85 24 9804
85 25 2664
85 26 2201
85 27 1186
85 28 5731
85 45 5622
85 47 613
85 50 6097
85 56 2461
85 63 9976
85 65 9088
85 70 7310
85 74 3740
85 78 3799
85 83 1580
85 86 153
85 98 5035
86 7 236
86 8 3654
86 12 8020
86 15 6552
86 22 5764
86 23 6687
86 26 3117
86 30 2860
86 36 3130
86 38 1300
86 42 6039
86 48 7652
86 54 2760
86 63 3776
86 73 3915
86 74 9248
86 76 4470
86 78 485
86 81 903
86 82 7626
86 83 1068
86 85 6403
86 88 5955
86 90 7658
86 92 1178
86 93 9259
86 98 8090
87 5 9965
87 17 498
87 26 4849
87 27 7027
87 29 7114
87 31 5152
87 32 5891
87 39 3917
87 52 7228
87 53 419
87 68 5891
87 70 9545
87 84 2783
87 85 7031
87 88 9766
87 90 2971
87 91 8575
87 92 9187
87 96 8885
87 98 413
88 5 6884
88 16 5970
88 17 4417
88 19 5925
88 22 7077
88 24 6664
88 39 3345
88 42 9771
88 44 2690
88 47 3665
88 50 6147
88 59 6093
88 75 3626
88 85 9759
88 90 1118
88 96 4493
88 98 5449
88 99 1446
89 12 9809
89 16 7120
89 20 1709
89 23 7944
89 35 8170
89 38 5046
89 43 4119
89 48 2455
89 57 3042
89 63 4127
89 73 3500
89 75 7521
89 77 8494
89 81 8212
89 85 8800
89 88 2594
89 96 7812
90 3 5493
90 16 7595
90 18 9520
90 20 2844
90 27 8915
90 41 5305
90 45 5455
90 46 5015
90 64 7385
90 68 1199
90 70 7879
90 75 4634
90 76 713
90 80 297
90 81 5320
90 89 2717
91 7 9417
91 9 3218
91 11 1682
91 13 8405
91 17 9914
91 19 8825
91 21 9606
91 23 2848
91 28 4651
91 34 500
91 39 1304
91 40 302
91 44 5550
91 52 5666
91 61 1224
91 62 774
91 64 5352
91 71 6827
91 74 3920
91 79 4739
91 80 8652
91 90 8700
91 98 5009
92 0 2413
92 11 2299
92 14 8695
92 29 5272
92 31 9744
92 35 8178
92 38 7761
92 57 3291
92 60 9967
92 62 1761
92 64 2803
92 73 6125
92 75 2395
92 77 5703
92 80 4623
92 97 665
93 5 307
93 8 7980
93 11 5835
93 17 8215
93 20 1420
93 22 1367
93 27 7778
93 28 6407
93 31 417
93 35 4299
93 36 511
93 44 8822
93 48 1227
93 49 4240
93 53 9581
93 59 9078
93 62 2396
93 67 8641
93 69 7578
93 70 6935
93 74 5468
93 76 1642
93 82 5941
93 90 5041
93 99 8897
94 12 3989
94 18 3546
94 25 1027
94 37 5298
94 42 583
94 47 6837
94 53 7364
94 54 8967
94 60 3908
94 68 4204
94 69 8010
94 71 7183
94 75 696
94 78 1227
94 85 1048
94 86 8844
94 87 8267
94 91 8426
94 92 3766
95 3 8659
95 4 4387
95 5 6729
95 9 3872
95 13 2067
95 20 6042
95 21 4063
95 31 249
95 32 9370
95 37 7264
95 38 1250
95 39 5038
95 40 9473
95 46 8844
95 52 4076
95 57 5000
95 63 4545
95 64 4209
95 65 689
95 67 1956
95 74 9464
95 77 5867
95 79 5808
95 81 5716
95 82 9186
95 84 4469
95 90 6414
95 94 6799
96 0 199
96 12 4558
96 13 4359
96 19 166
96 23 9966
96 31 455
96 32 6921
96 42 5625
96 43 1889
96 44 4309
96 46 7809
96 59 6981
96 60 3979
96 63 2593
96 64 2855
96 67 9882
96 68 7562
96 73 4421
96 84 3139
97 4 5573
97 5 4423
97 12 1936
97 13 7154
97 15 9699
97 30 8708
97 34 9979
97 48 3114
97 49 1214
97 52 398
97 54 4875
97 58 6464
97 78 3119
97 92 2895
98 5 4499
98 12 9177
98 13 2185
98 16 3007
98 20 8740
98 21 8544
98 27 7510
98 33 8608
98 36 4413
98 37 9696
98 38 3239
98 41 7868
98 50 1851
98 77 6009
98 85 5690
98 91 2319
99 0 190
99 11 2600
99 13 4328
99 16 460
99 18 2683
99 21 4600
99 24 456
99 25 2631
99 32 4039
99 41 3239
99 42 7295
99 47 9134
99 48 4537
99 50 2468
99 53 7769
99 57 9510
99 59 1496
99 62 5671
99 81 7441
99 84 7068
99 85 4545
99 88 5973
99 90 1964
99 93 4853
99 96 5480
